question;answer
"Лекарственный препарат Трифтазин – является ли монолотом? Столкнулась с такой проблемой у данного лекарственного препарата два производителя – значит не монолот, но второй производитель Украина, с которой у нашей страны вооруженный конфликт, значит монолот?

";"Пунктом 2 постановления Правительства РФ от 17 октября 2013 г. N 929 установлено предельное значение НМЦК (цены лота) в размере 1 тыс. рублей, если предметом одного контракта (одного лота) наряду с иным лекарственным средством (иными лекарственными средствами) является поставка следующих лекарственных средств:
- лекарственное средство с международным непатентованным наименованием (при отсутствии такого наименования - с химическим, группировочным наименованием), в рамках которого отсутствуют зарегистрированные в установленном порядке аналогичные по лекарственной форме и дозировке лекарственные средства;
- наркотическое лекарственное средство;
- психотропное лекарственное средство;
- радиофармацевтическое лекарственное средство.
По данным Государственного реестра лекарственных средств препарат с торговым наименованием Трифтазин (МНН Трифлуоперазин) в лекарственной форме таблетки, покрытые оболочкой, производит один производитель - ОАО ""ДАЛЬХИМФАРМ"" (РУ № Р N001406/02). Данный препарат в форме выпуска таблетки, покрытые оболочкой нельзя закупать с иными лекарственными средствами, если НМЦК превышает 1 тыс. руб.
Если закупается препарат с торговым наименованием Трифтазин (МНН Трифлуоперазин) в лекарственной форме раствор для внутримышечного введения, то в ГРЛС зарегистрированы 2 производителя с действующими РУ № Р N002757/01 и № Р N001406/01. Данный препарат в форме выпуска раствор для внутримышечного введения монолотом не является."
Добрый день! Прошу Вас высказать свою позицию по ежегодным спорам при подсчете СГОЗ для отчета по закупкам у СМП. С одной стороны мы знаем, что СГОЗ нужно посчитать: Оплата по контрактам прошлых лет, которая перешла на текущий год + Оплата по контрактам текущего года + Оплата текущего года по переходящим контрактам. С другой стороны есть мнение – возьмите эту сумму из ПФХД. Но так как эти суммы не совпадают (в ПФХД значение больше) вопрос: правомерно ли для расчета брать значение из ПФХД? Спасибо!;"В соответствии с п. 16 ч. 1 ст. 3 Закона № 44-ФЗ совокупный годовой объем закупок - утвержденный на соответствующий финансовый год общий объем финансового обеспечения для осуществления заказчиком закупок в соответствии с настоящим Федеральным законом, в том числе для оплаты контрактов, заключенных до начала указанного финансового года и подлежащих оплате в указанном финансовом году.
Полагаем, что, исходя из данного определения, размер СГОЗ определяется общим объемом средств, доведенных заказчику для осуществления закупок в текущем году, т.е. соответствует ПФХД."
"""Необходимо закупить набор для стоунтерапии (камни + подогрев) ( в целях оказания услуг массажа теплыми и холодными камнями).
При анализе закупок на ЕИС видно, что закупки проводились по кодам 23.70.12.110, 27.51.29.000, но по нашему мнению, это не верно.
Какой код окпд будет правильным для применнения в указанной закупке?""";"Данный вопрос не имеет точного ответа. На наш взгляд, возможно применить ОКПД 2 32.99.59.000 - Изделия различные прочие, не включенные в другие группировки. или 32.30.14.130 - Тренажеры реабилитационные или 32.50.13.190 - Инструменты и приспособления, применяемые в медицинских целях, прочие, не включенные в другие группировки.
Код ОКПД2 выбирается заказчиком самостоятельно, исходя из объекта закупки. Контрольные органы могут признать неправомерным выбор кода ОКПД2, если несоответствующий код выбран для неприменения действующих преимуществ/запретов/ограничений/условий допуска или ограничения числа участников закупки. Указанная позиция сформулирована в письме Минфина России от 9 июня 2017 г. N 24-03-08/36404."
"При использовании КТРУ 21.20.23.110-00010978 возможно ли указывать дополнительные характеристики при покупке тестов на содержание наркотических веществ?

";Да, возможно. Доп.характеристики, не предусмотрненные КТРУ, запрещено указывать, если закупаются тест-полоски для определения содержания глюкозы в крови, и предназначенные для анализатора уровня сахара крови портативного, соответствующего кодам 300680, 300690, 344110 вида медицинского изделия в соответствии с НКМИ. Это требования Постановления Правительства РФ от 12 января 2023 г. N 10. Если закупается иной товар, указывать дополнительные характеристики по данному КТРУ разрешено.
Добрый день. Планируем заключить контракт по п.11 ч.1 ст.93 44 ФЗ с УИС. на вашем ресурсе нашли пояснение по заключению подобных контрактов. Там есть у вас в ответе:3) проект контракта до подписания поставщиком необходимо направить на согласование контрольному органу ( ч. 5 ст. 99 Закона N 44-ФЗ, подпункт “з” п.4 Правил осуществления контроля, предусмотренного частями 5 и 5 1 статьи 99 Закона №44-ФЗ (утв. ПП РФ от 6 августа 2020 г. N 1193). Мы как больница (ГБУЗ “ГБ №1 г. Новороссийска” МЗ КК, ИНН 2315104180) кому должны направить такой проект контракта?;"Согласно п. 2 Правил осуществления контроля, предусмотренного частями 5 и 5 1 статьи 99 Федерального закона ""О контрактной системе в сфере закупок товаров, работ, услуг для обеспечения государственных и муниципальных нужд"" (утв. ПП РФ от 6 августа 2020 г. N 1193) органами, осуществляющими контроль в соответствии с настоящими Правилами, являются:
а) федеральный орган исполнительной власти, определенный Правительством Российской Федерации в соответствии с частью 6 статьи 4 Федерального закона;
б) территориальные органы федерального органа исполнительной власти, осуществляющего правоприменительные функции по кассовому обслуживанию исполнения бюджетов бюджетной системы Российской Федерации;
в) финансовые органы субъектов Российской Федерации;
г) финансовые органы муниципальных образований;
д) органы управления государственными внебюджетными фондами.
Из вопроса следует, что заказчик является бюджетным учреждением субъекта РФ, следовательно, в соответствии с п. 7 Правил, контроль в его отношении осуществляется органами, предусмотренными подпунктом ""в"" пункта 2 настоящих Правил (т.е.финансовым органом соответствующего субъекта РФ), за исключением случаев, предусмотренных пунктом 9 Правил. Исключения (п. 9 Правил): закупки за счет средств бюджетов государственных внебюджетных фондов и учреждений, подведомственных соответствующим государственным внебюджетным фондам, подлежат контролю органами управления государственными внебюджетными фондами (подп. ""д"" п. 2 Правил)."
"Для КТРУ 26.51.53.150-00000001 Тепловизионный модуль отсутствуют характеристики
Код попадает под ограничения по ПП РФ 878
Будет ли ошибкой при формировании извещения прописывать характеристики закупаемого товара?";"В данном случае заказчик вправе самостоятельно установить в извещении и описании объекта закупки все необходимые характеристики закупаемого товара в соответствии с статьей 33 Закона №44-ФЗ.
В письме Минфина России от 24 января 2022 г. N 24-03-08/4090 выражена позиция, что если если описание (содержащее характеристики) объекта закупки не сформировано и не включено в позицию каталога:
- заказчик при использовании такой позиции каталога самостоятельно осуществляет описание объекта закупки в соответствии с положениями статьи 33 Закона N 44-ФЗ;
- предусмотренные пунктом 5 Правил использования каталога запреты на указание дополнительных характеристик не применяются."
Здравствуйте. Как быть, финансирование в плане-графике указано на 2023 год. Деньги выделена на 2023 финансовый год. Аукцион объявлен в 2023, проведён в 2024 и контракт заключён в 2024. Но сейчас нет возможности зарегистрировать контракт, поскольку в плане-графике сумма указана на 2023. Что можно делать?;На наш взгляд, необходимо внести изменения в план-график в части переноса финансирования данной закупки с 2023 года на 2024 год. В ЕИС доступно редактирование планов-графиков прошлых лет.
"Здравствуйте! 
Скажите, пожалуйста, проверяющие написали нарушение, что исполнитель оказывал услуги по питанию и проживанию участников конкурса, хотя в ОКВЭД у него нет такой деятельности. 
Договор был заключен с единственным поставщиком по п4 ч.1 ст. 93 44-ФЗ";"Отсутствие у исполнителя зарегистрированного кода ОКВЭД не препятствует осуществлению им деятельности, соответствующей этому коду. Он вправе осуществлять иные не запрещенные законом виды деятельности. Заказчик вправе заключить контракт с исполнителем в том числе при отсутствии у исполнителя зарегистрированного кода ОКВЭД. Заключение такого контракта не влечет правовых последствий для организации. 
В соответствии с п. 5 ст. 5 Федерального закона от 08.08.2001 № 129-ФЗ ""О государственной регистрации юридических лиц и индивидуальных предпринимателей"", юридическое лицо и ИП в течение 7 рабочих дней со дня изменения содержащихся в государственном реестре сведений (в т.ч. кодов по ОКВЭД) обязаны сообщить об этом в регистрирующий орган по месту своего нахождения или жительства путем представления соответствующих документов.
Коды ОКВЭД относятся к числу сведений о юридическом лице, подлежащих включению в Единый государственный реестр юридических лиц (пп. ""п"" п. 1 ст. 5 Закона № 129-ФЗ). Коды ОКВЭД определяются юридическим лицом самостоятельно. Указанные юридическим лицом коды по ОКВЭД вносятся регистрирующим органом в ЕГРЮЛ. 
В соответствии с п. 1 ст. 49 ГК РФ по общему правилу коммерческие организации обладают универсальной правоспособностью. Арбитражные суды неоднократно приходили к выводу о том, что присвоение организации какого-либо кода по ОКВЭД не лишает ее права осуществлять иные виды деятельности, не запрещенные законом (например, постановление АС Центрального округа от 06.09.2016 N Ф10-1446/15).
Таким образом, юридическое лицо вправе осуществлять и такие виды деятельности, коды по которым не включены в ЕГРЮЛ. Отсутствие у юридического лица зарегистрированного кода ОКВЭД не препятствует заключению с ним договора на оказание услуг соответствующего кода и не влечет правовых последствий для заказчика, заключившего такой договор."
"В соответствии с 360-ФЗ от 02.07.2021 г. с 01.01.2022 г. внесены изменения в 44-ФЗ в части предъявления единых требований к участникам закупки. 
Ответьте, пожалуйста, как нам предъявлять эти требования к поставщику? Что нужно с них запрашивать или брать какую-либо информацию с ресурсов? 
Спасибо!";"В соответствии с ч.1 ст.31 заказчик устанавливает единые требования к участникам закупки при применении конкурентных способов закупки и при осуществлении закупки у единственного поставщика (подрядчика, исполнителя) в случаях, предусмотренных пунктами 4, 5, 18, 30, 42, 49, 54 и 59 части 1 статьи 93 Закона №44-ФЗ. Данная норма действует с 01.01.2022г.
Но закон не указывает, каким образом подтверждается соответствие контрагента единым требованиям при закупке у единственного поставщика. Заказчик самостоятельно решает, каким образом единственный поставщик должен подтвердить свое соответствие единым требованиям. Вот некоторые варианты действий заказчика:
1) указать в контракте, что контрагент соответствует требованиям ч.1 ст.31 Закона №44-ФЗ;
2) приложить к контракту письменную декларацию о соответствии контрагента требованиям ч.1 ст.31 Закона №44-ФЗ;
3) самостоятельно проверить соответствие контрагента требованиям ч.1 ст.31 Закона №44-ФЗ и оформить результат проверки документально."
Договор с физическим лицом на “услуги системного администрирования вычислительной сети” по п.4 или п.5 возможен в рамках 44-ФЗ? Образовательное учреждение.;"Заключение такого договора с физическим лицом на основаниях, предусмотренных Законом № 44-ФЗ (в т.ч. по п. 4 или п. 5 ч. 1 ст. 93) возможно. В соответствии с п. 4 ч. 1 ст. 3 Закона № 44-ФЗ участник закупки - любое юридическое лицо независимо от его организационно-правовой формы, формы собственности, места нахождения и места происхождения капитала, за исключением юридического лица, местом регистрации которого является государство или территория, включенные в утверждаемый в соответствии с пунктом 15 статьи 241 Бюджетного кодекса Российской Федерации перечень государств и территорий, используемых для промежуточного (офшорного) владения активами в Российской Федерации (далее - офшорная компания), либо юридического лица, являющегося иностранным агентом в соответствии с Федеральным законом от 14 июля 2022 года N 255-ФЗ ""О контроле за деятельностью лиц, находящихся под иностранным влиянием"", или любое физическое лицо, в том числе зарегистрированное в качестве индивидуального предпринимателя, за исключением физического лица, являющегося иностранным агентом в соответствии с Федеральным законом от 14 июля 2022 года N 255-ФЗ ""О контроле за деятельностью лиц, находящихся под иностранным влиянием"".
Если физическое лицо не является индивидуальным предпринимателем или плательщиком налога на профессиональный доход (самозанятым), то заказчик обязан удержать из дохода физлица НДФЛ и начислить страховые взносы. 
В соответствии с п. 2 ч. 13 ст. 34 Закона № 44-ФЗ в контракт обязательно включается условие об уменьшении суммы, подлежащей уплате заказчиком юридическому лицу или физическому лицу, в том числе зарегистрированному в качестве индивидуального предпринимателя (далее - ИП), на размер налогов, сборов и иных обязательных платежей в бюджеты бюджетной системы РФ, связанных с оплатой контракта, если в соответствии с законодательством РФ о налогах и сборах такие налоги, сборы и иные обязательные платежи подлежат уплате в бюджеты бюджетной системы РФ заказчиком."
Закупка ГСМ путем проведения электронного аукциона. Единица измерения по ошибке была неверно указана (в тоннах), когда нужно было указать в литрах. Поставщик согласился с условиями подал заявку, и вышло что тонна бензина стоит 52 руб) Можно было бы конечно расторгнуть данный контракт по соглашению сторон, НО бензин уже начали выбирать, и есть накладные на н-ную сумму. Занести накладные в новый контракт, который мы бы заключили в ближайшее время уже не получится, так как заметили всё поздно, и накладные в бухгалтерии уже зарегистрированы. Есть ли хоть какой-то выход из данной ситуации?;Единственным соответствующим законодательству выходом, на наш взгляд, являлось бы расторжение контракта по соглашению сторон сразу же после его заключения. Полагаем, что это необходимо сделать сейчас. Но, так как контракт начал исполняться, для поставщика наступают негативные последствия в виде оплаты заказчиком товара по цене, указанной в контракте. Оплатить за товар по иной цене заказчик не может. Законных оснований для изменения единицы измерения, указанной в контракте, либо цены контракта нет.
Просьба помочь! Прошел аукцион на поставку стаканов пластиковых для пищевых продуктов КТРУ 22.29.23.110-00000128. Установлено ПП 617 и 126 н. Подано 5 заявок, из которых все участники в качестве подтверждения страны происхождения отдельных видов промышленных товаров предоставили согласно 617 ПП реестровые номера и совокупное количество баллов из Реестра промышленной продукции, произведенной в РФ.Из 5 заявок две заявки с разными производителями. Применяется ли данное постановление? Надо ли всех допускать или необходимо рассматривать Заявки по постановлению 126 н?;"Постановление № 617 в данном случае применяется. Заявки без реестровых номеров (если такие поданы) необходимо отклонить на основании п. 4 ч. 12 ст. 48 Закона № 44-ФЗ и п. 2 Постановления № 617. Если все заявки содержат номера реестровых записей и соответствуют извещению, то всех их нужно допустить. В соответствии с п. 2 ПП № 617... заказчик отклоняет все заявки, содержащие предложения о поставке отдельных видов промышленных товаров, происходящих из иностранных государств, за исключением государств - членов ЕАЭС, при условии, что на участие в закупке подана одна (или более) заявка, удовлетворяющая требованиям извещения ... , которая содержит предложения о поставке отдельных видов промышленных товаров, страной происхождения которых являются только государства - члены ЕАЭС. Подтверждением страны происхождения товаров является указание номеров реестровых записей из реестра российской промышленной продукции или евразийского реестра промышленных товаров (п. 7 ПП № 617). 
Действующая редакция ПП № 617 не содержит требований о том, что заявки участников не должны содержать предложений о поставке одного и того же вида промышленного товара одного производителя либо производителей, входящих в одну группу лиц. Данное требование утратило силу с 18.09.2023 (ПП РФ от 2 сентября 2023 г. N 1443). 
Если все участники предоставили в заявках номера реестровых записей, то все они предлагают товар российский (или ЕАЭС). Следовательно, приказ № 126н не применяется. В соответствии с подп. ""б"" п. 2 приказа № 126н положения подпунктов 1.1-1.3 пункта 1 приказа № 126н не применяются, все заявки участников закупки, признанные ... соответствующими требованиям извещения об осуществлении закупки... , содержат предложения о поставке товаров, указанных в Приложениях и происходящих исключительно из государств - членов ЕАЭС"
Можно ли проводить закупки входящие в Распоряжение Правительства РФ от 21.03.2016 N 471-р электронным запросом котировок?;Да, можно. В соответствии с ч. 6 ст. 24 Закона № 44-ФЗ заказчик, за исключением случаев осуществления закупки товаров, работ, услуг путем проведения электронного запроса котировок либо закупки у единственного поставщика (подрядчика, исполнителя), обязан осуществлять закупки товаров, работ, услуг, включенных в перечень, установленный Правительством РФ, либо в дополнительный перечень, установленный высшим исполнительным органом государственной власти субъекта РФ при осуществлении закупок товаров, работ, услуг для обеспечения нужд субъекта РФ путем проведения аукционов. Таким образом, если товар включен в аукционный перечень (утв. распоряжением Правительства РФ от 21 марта 2016 г. N 471-р), заказчик вправе закупить его электронным запросом котировок или у единственного поставщика на предусмотрненных законом основаниях
Объявляем уже несколько раз аукцион на закупку медикаментов и медицинских изделий. Никто в аукционе не участвует. Даже заявок не подают, хотя ТЗ нормальное и цены тоже – ничего сверхъестественного. Из за того что закупка несколько раз не состоялась. а лекарства нужны приходится покупать их простым договором и вылезать за рамки дозволенных 2 млн. Скажите, пожалуйста, есть ли хоть какие-нибудь законные основания заключать договора на поставку медикаментов с единственным поставщиком в результате несостоявшихся аукционов (трех и более) на закупку одних и тех же препаратов так чтобы эти договора не включались в лимит договоров с ед поставщиком на 2 млн?;"В соответствии с ч. 8 ст. 52 Закона № 44-ФЗ в случаях, предусмотренных пунктами 3 - 6 части 1 настоящей статьи, заказчик вправе осуществить новую закупку в соответствии с настоящим Федеральным законом либо осуществить закупку у единственного поставщика (подрядчика, исполнителя) в соответствии с пунктом 25 части 1 статьи 93 настоящего Федерального закона. Пункты 3 - 6 ч. 1 ст. 52 описывают случаи, когда закупка не состоялась и отсутствует участник, с которым заказчик мог бы заключить контракт. В указанных случаях заказчик вправе заключить контракт с единственнным поставщиком по п. 25 ч. 1 ст. 93 Закона № 44-ФЗ. При этом контракт заключается в соответствии с требованиями части 5 ст. 93 Закона № 44-ФЗ, а именно: 
1) на условиях, предусмотренных извещением об осуществлении закупки...документацией о закупке (если настоящим Федеральным законом предусмотрена документация о закупке);
2) по цене, не превышающей НМЦК, либо по цене за единицу товара, работы, услуги, рассчитанной в соответствии с подпунктом ""в"" пункта 1 части 2 статьи 51 Закона № 44-ФЗ, и максимальному значению цены контракта (в случае, предусмотренном частью 24 статьи 22 Закона № 44-ФЗ);
3) в порядке, установленном Законом № 44-ФЗ для заключения контракта с победителем соответствующего способа определения поставщика (подрядчика, исполнителя), с учетом положений части 9 настоящей статьи (до 01.01.2025 г. в рассматриваемом случае контракт с ед.поставщиком заключается без использования ЕИС, электронной площадки - Закон от 25.12.2023 № 624-ФЗ). При этом, если при проведении электронной процедуры, закрытой электронной процедуры закупка в соответствии с частью 8 статьи 52, частью 4 статьи 77 настоящего Федерального закона осуществляется у единственного поставщика (подрядчика, исполнителя):
а) единственный поставщик (подрядчик, исполнитель) формирует и размещает информацию и документы в ЕИС;
б) положения пункта 2 части 2, подпункта ""б"" пункта 2 части 3 (об увеличении количества поставляемого товара до НМЦК), части 7 статьи 51(заключение контаркта с последующим участником, если победитель уклонился) Закона № 44-ФЗ не применяются;
4) по согласованию с контрольным органом в сфере закупок в случае признания несостоявшимися конкурса или аукциона, если начальная (максимальная) цена контракта превышает предельный размер (предельные размеры) начальной (максимальной) цены контракта, который устанавливается Правительством РФ (установлено ПП РФ от 30 июня 2020 г. N 961).
В нашем блоге размещена статья https://zakupki44fz.ru/blog/chto-delat-zakazchiku-esli-zakupka-ne-sostoyalas-iz-za-otsutstviya-zayavok/#comment-16962 и запись вебинара https://zakupki44fz.ru/blog/webinars/nesostoyavshiesya-zakupki-po-novym-pravilam/ в которых данный вопрос подробно рассмотрен. "
Здравствуйте. Участнику закупки необходимо приложить в заявке Сертификат СТ-1. Вместо него приложено письмо, что такой сертификат готовится к выдаче. Является ли это отсутствием Сертификата СТ-1?;Правоприменительная практика показывает, что если в извещении установлено требование о предоставлении в качестве документа, подтверждающего страну происхождения товара, сертификата СТ-1 (например, в соответствии с Постановлением Правительства РФ от 5 февраля 2015 г. N 102), предоставление участником закупки иных документов не является надлежащим исполнением данного требования (например, решение Управления Федеральной антимонопольной службы по Брянской области от 30 мая 2022 г. N 032/06/106-479/2022 (извещение N 0227100000322000026), решение Управления Федеральной антимонопольной службы по Пермскому краю от 12 ноября 2021 г. N 018267/э ( (изв.N 0356500005621000575)). Однако практики, точно соответствующей ситуации, описанной в вопросе, нам найти не удалось
Здравствуйте! Подскажите пожалуйста как быть в данной ситуации. Мы заказчики ,заключили контракт на поставку медицинских изделий. Поставщик прислал уведомление что он не может поставить товар ссылаясь на санкционное давление, нарушением логических цепочек что повлияло на удорожание транспортных расходов, а так же с удорожанием сырьевой базы при изготовлении товара, что заводы изготовители увеличили цены на продукцию. И просит расторгнуть по соглашению сторон. Как я должна поступить в данной ситуации? Юриста у нас нет. Работаю в этой сфере не давно;"Обязанности соглашаться на расторжение контракта у заказчика нет. Заказчик может пойти навстречу поставщику и расторгнуть контракт по соглашению сторон на основании ч. 8 ст. 95 Закона № 44-ФЗ. Расторжение контракта по соглашению сторон не несет негативных последствий для поставщика. Формально стороны могут расторгнуть контракт по взаимному соглашению в любое время без дополнительных обоснований. В письмах Минэкономразвития России (от 10.02.2015 N Д28и-175, от 29.01.2015 N Д28и-186, от 18.12.2014 N Д28И-2834, от 11.12.2014 N Д28и-2815) указывается, что в случае, если контракт не может быть исполнен в срок, его стороны вправе расторгнуть такой контракт по соглашению сторон. В судебной практике также есть примеры, когда расторжение контракта по соглашению сторон в такой ситуации признается правомерным (например, постановление АС Уральского округа от 10.04.2023 N Ф09-1217/23).
Но данный подход заказчика может быть негативно воспринят контрольным органом в ходе последующей проверки, так как потребность в товаре у заказчика остается, а причины, указанные поставщиком, не являются подтверждением обстоятельств непреодолимой силы. 
Другим вариантом, который может принести негативные последствия для поставщика в виде включения в РНП, является односторонний отказ заказчика от исполнения контракта в связи с нарушением поствщиком существенных условий контракта. Правом на одностоорнний отказ заказчик может воспользоваться, если соответствующее условие указано в контракте (ч. 9 ст. 95 Закона № 44-ФЗ). Действия заказчика в этом случае регламентируются нормами ч.ч. 10 - 14.1 ст. 95 Закона № 44-ФЗ. Согласно ч. 16 ст. 95 Закона № 44-ФЗ заказчик не позднее двух рабочих дней, следующих за днем вступления в силу решения заказчика об одностороннем отказе от исполнения контракта в связи с неисполнением или ненадлежащим исполнением поставщиком (подрядчиком, исполнителем) обязательств, предусмотренных контрактом, направляет в соответствии с порядком, предусмотренным пунктом 1 части 10 статьи 104 настоящего Федерального закона, обращение о включении информации о поставщике (подрядчике, исполнителе) в реестр недобросовестных поставщиков (подрядчиков, исполнителей).
В любом случае при нарушении поставщиком обязательств по контракту заказчик обязан потребовать от него уплаты неустойки (штрафа, пеней) (ч. 6 ст. 34 Закона № 44-ФЗ). При этом поставщик освобождается от ответственности лишь в том случае, если он докажет, что нарушение обязательства имело место вследствие непреодолимой силы или по вине другой стороны ч. 9 ст. 34 Закона № 44-ФЗ)."
